id,competition_id,skater_name,nation,rank,program_type,category,total_score,tes_score,pcs_score,deductions
167,3,Rino MATSUIKE,JPN,3,Free,Women,131.95,68.43,63.52,0.0
168,3,Bradie TENNELL,USA,4,Free,Women,126.46,62.09,64.37,0.0
169,3,Madeline SCHIZAS,CAN,5,Free,Women,123.44,62.32,61.12,0.0
170,3,Iida KARHUNEN,FIN,6,Free,Women,120.14,65.77,54.37,0.0
171,3,Rion SUMIYOSHI,JPN,7,Free,Women,116.84,60.95,59.89,-4.0
172,3,Lorine SCHILD,FRA,8,Free,Women,114.89,59.56,55.33,0.0
173,3,Olivia LISKO,FIN,9,Free,Women,103.67,48.38,55.29,0.0
174,3,Selma VALITALO,FIN,10,Free,Women,98.63,47.22,51.41,0.0
175,3,Amber GLENN,USA,1,Short,Women,75.72,42.08,33.64,0.0
176,3,Mone CHIBA,JPN,2,Short,Women,72.89,38.31,34.58,0.0
177,3,Madeline SCHIZAS,CAN,3,Short,Women,65.16,34.28,30.88,0.0
178,3,Bradie TENNELL,USA,4,Short,Women,63.92,31.53,32.39,0.0
179,3,Rion SUMIYOSHI,JPN,5,Short,Women,61.42,31.31,31.11,-1.0
180,3,Rino MATSUIKE,JPN,6,Short,Women,61.26,30.29,30.97,0.0
181,3,Olivia LISKO,FIN,7,Short,Women,61.0,33.16,27.84,0.0
182,3,Lorine SCHILD,FRA,8,Short,Women,60.74,32.22,28.52,0.0
183,3,Iida KARHUNEN,FIN,9,Short,Women,60.03,33.82,26.21,0.0
184,3,Loena HENDRICKX,BEL,10,Short,Women,54.75,25.01,31.74,-2.0
185,3,Selma VALITALO,FIN,11,Short,Women,43.84,19.29,24.55,0.0
186,4,Ilia MALININ,USA,1,Free,Men,238.24,146.07,92.17,0.0
187,4,Daniel GRASSL,ITA,2,Free,Men,194.72,110.86,83.86,0.0
188,4,Shun SATO,JPN,3,Free,Men,194.02,107.21,86.81,0.0
189,4,Yuma KAGIYAMA,JPN,4,Free,Men,193.64,100.73,92.91,0.0
190,4,Adam SIAO HIM FA,FRA,5,Free,Men,180.15,94.97,85.18,0.0
191,4,Mikhail SHAIDOROV,KAZ,6,Free,Men,170.89,93.71,77.18,0.0
192,4,Yuma KAGIYAMA,JPN,1,Short,Men,108.77,61.54,47.23,0.0
193,4,Shun SATO,JPN,2,Short,Men,98.06,55.46,42.6,0.0
194,4,Ilia MALININ,USA,3,Short,Men,94.05,49.97,44.08,0.0
195,4,Daniel GRASSL,ITA,4,Short,Men,94.0,53.34,40.66,0.0
196,4,Adam SIAO HIM FA,FRA,5,Short,Men,78.49,37.43,42.06,-1.0
197,4,Mikhail SHAIDOROV,KAZ,6,Short,Men,71.3,34.0,38.3,-1.0
198,5,Kaori SAKAMOTO,JPN,1,Free,Women,149.4,75.42,73.98,0.0
199,5,Ami NAKAI,JPN,2,Free,Women,146.98,79.27,67.71,0.0
200,5,Alysa LIU,USA,3,Free,Women,146.7,75.86,70.84,0.0
201,5,Amber GLENN,USA,4,Free,Women,144.65,77.42,67.23,0.0
202,5,Rinka WATANABE,JPN,5,Free,Women,136.46,70.97,65.49,0.0
203,5,Mone CHIBA,JPN,6,Free,Women,132.95,67.91,67.04,-2.0
204,4,Mone CHIBA,JPN,1,Short,Women,77.27,41.35,35.92,0.0
205,4,Alysa LIU,USA,2,Short,Women,75.79,40.64,35.15,0.0
206,4,Ami NAKAI,JPN,3,Short,Women,73.91,40.51,33.4,0.0
207,4,Rinka WATANABE,JPN,4,Short,Women,70.68,38.1,32.58,0.0
208,4,Kaori SAKAMOTO,JPN,5,Short,Women,69.4,33.12,36.28,0.0
209,4,Amber GLENN,USA,6,Short,Women,66.85,33.51,33.34,0.0
210,4,Ilia MALININ,USA,1,Free,Men,238.24,146.07,92.17,0.0
211,4,Daniel GRASSL,ITA,2,Free,Men,194.72,110.86,83.86,0.0
212,4,Shun SATO,JPN,3,Free,Men,194.02,107.21,86.81,0.0
213,4,Yuma KAGIYAMA,JPN,4,Free,Men,193.64,100.73,92.91,0.0
214,4,Adam SIAO HIM FA,FRA,5,Free,Men,180.15,94.97,85.18,0.0
215,4,Mikhail SHAIDOROV,KAZ,6,Free,Men,170.89,93.71,77.18,0.0
216,4,Yuma KAGIYAMA,JPN,1,Short,Men,108.77,61.54,47.23,0.0
217,4,Shun SATO,JPN,2,Short,Men,98.06,55.46,42.6,0.0
218,4,Ilia MALININ,USA,3,Short,Men,94.05,49.97,44.08,0.0
219,4,Daniel GRASSL,ITA,4,Short,Men,94.0,53.34,40.66,0.0
220,4,Adam SIAO HIM FA,FRA,5,Short,Men,78.49,37.43,42.06,-1.0
221,4,Mikhail SHAIDOROV,KAZ,6,Short,Men,71.3,34.0,38.3,-1.0
222,4,Kaori SAKAMOTO,JPN,1,Free,Women,149.4,75.42,73.98,0.0
223,4,Ami NAKAI,JPN,2,Free,Women,146.98,79.27,67.71,0.0
224,4,Alysa LIU,USA,3,Free,Women,146.7,75.86,70.84,0.0
225,4,Amber GLENN,USA,4,Free,Women,144.65,77.42,67.23,0.0
226,4,Rinka WATANABE,JPN,5,Free,Women,136.46,70.97,65.49,0.0
227,4,Mone CHIBA,JPN,6,Free,Women,132.95,67.91,67.04,-2.0
228,4,Mone CHIBA,JPN,1,Short,Women,77.27,41.35,35.92,0.0
229,4,Alysa LIU,USA,2,Short,Women,75.79,40.64,35.15,0.0
230,4,Ami NAKAI,JPN,3,Short,Women,73.91,40.51,33.4,0.0
231,4,Rinka WATANABE,JPN,4,Short,Women,70.68,38.1,32.58,0.0
232,4,Kaori SAKAMOTO,JPN,5,Short,Women,69.4,33.12,36.28,0.0
233,4,Amber GLENN,USA,6,Short,Women,66.85,33.51,33.34,0.0
