id,performance_id,element_index,element_name,base_value,goe,panel_score,judges_scores,is_bonus
997,102,11,FSSp3,2.6,0.41,3.01,"2,2,1,2,2,2,1,1,1",False
998,102,12,CCoSp3,3.0,0.47,3.47,"0,2,2,1,1,2,1,2,2",False
999,103,1,4T,9.5,2.44,11.94,"2,2,3,3,3,2,4,2,3",False
1000,103,2,3Lz+2T,7.2,1.1,8.3,"1,1,3,2,2,2,2,2,2",False
1001,103,3,3LoF,4.9,-2.45,2.45,"-5,-5,-5,-5,-5,-5,-5,-5,-5",False
1002,103,4,3AF,8.0,-3.89,4.11,"-5,-5,-5,-5,-5,-5,-4,-4,-5",False
1003,103,5,FCCoSp3,3.0,0.73,3.73,"3,3,1,2,2,3,3,2,2",False
1004,103,6,StSq4,3.9,1.45,5.35,"4,4,3,2,4,4,4,3,4",False
1005,103,7,3A+2A+SEQ,12.43,1.26,13.69,"2,1,2,1,1,1,2,2,2",True
1006,103,8,"3F!qF!,q",5.83,-2.65,3.18,"-5,-5,-5,-5,-5,-5,-5,-5,-5",True
1007,103,9,1Lz,0.66,-0.24,0.42,"-5,-5,-5,-3,-4,-3,-3,-4,-4",True
1008,103,10,CCSp4,3.2,0.46,3.66,"0,1,2,1,2,2,1,1,2",False
1009,103,11,CCoSp4,3.5,0.75,4.25,"3,1,2,2,2,2,3,2,2",False
1010,103,12,ChSq1,3.0,2.43,5.43,"5,5,2,5,5,5,5,4,5",False
1011,104,1,4T,9.5,-3.8,5.7,"-4,-5,-3,-4,-4,-4,-4,-4,-4",False
1012,104,2,3S,4.3,0.8,5.1,"1,1,2,2,2,2,2,3,2",False
1013,104,3,3A+2T,9.3,0.57,9.87,"0,0,1,1,1,1,1,1,0",False
1014,104,4,3Lo+3Lo,9.8,0.91,10.71,"1,2,3,2,1,2,2,2,2",False
1015,104,5,FSSp4,3.0,0.34,3.34,"0,1,2,1,1,1,1,2,1",False
1016,104,6,3Aq,8.8,-2.17,6.63,"-2,-3,-4,-3,-2,-3,-1,-3,-3",True
1017,104,7,3Lz+2A+2A+SEQ,13.75,0.0,13.75,"0,0,2,0,0,0,0,0,0",True
1018,104,8,ChSq1,3.0,0.57,3.57,"1,1,2,1,1,1,-1,1,2",False
1019,104,9,3F!,5.83,-0.3,5.53,"-1,-1,-1,-1,0,-1,0,0,0",True
1020,104,10,CCSp2,2.3,0.2,2.5,"0,1,2,1,0,0,0,2,2",False
1021,104,11,StSq3,3.3,0.47,3.77,"1,1,2,1,2,1,1,2,2",False
1022,104,12,CCoSp4,3.5,0.7,4.2,"2,2,2,1,3,2,1,2,3",False
1023,105,1,4F,11.0,3.93,14.93,"3,5,5,3,4,3,3,4,2",False
1024,105,2,3A,8.0,1.94,9.94,"3,3,3,2,2,1,2,2,3",False
1025,105,3,CCSp4,3.2,0.64,3.84,"3,0,2,2,2,2,3,2,1",False
1026,105,4,4Lzq+3T,17.27,0.33,17.6,"-1,0,1,0,1,0,1,1,-1",True
1027,105,5,FSSp4,3.0,0.47,3.47,"2,1,1,1,2,2,2,2,0",False
1028,105,6,StSq4,3.9,1.73,5.63,"5,4,5,4,5,4,5,3,4",False
1029,105,7,CCoSp4,3.5,0.9,4.4,"2,3,4,3,3,2,2,2,3",False
1030,106,1,4T+3T,13.7,2.17,15.87,"1,3,3,2,2,1,3,3,2",False
1031,106,2,4S,9.7,-0.14,9.56,"0,-1,1,0,0,0,0,0,-1",False
1032,106,3,FCSp4,3.2,0.69,3.89,"3,2,3,2,2,2,-1,2,2",False
1033,106,4,3A,8.8,0.46,9.26,"1,-1,2,-2,1,1,2,-1,1",True
1034,106,5,CSSp4,3.0,0.51,3.51,"1,2,2,2,3,2,0,2,1",False
1035,106,6,StSq3,3.3,1.27,4.57,"4,3,4,4,4,4,3,4,4",False
1036,106,7,CCoSp3,3.0,0.73,3.73,"2,3,3,3,3,2,2,2,2",False
1037,107,1,4T,9.5,2.85,12.35,"2,4,3,3,3,4,3,3,2",False
1038,107,2,3A,8.0,2.17,10.17,"2,3,3,3,3,3,3,2,2",False
1039,107,3,FSSp4,3.0,0.81,3.81,"2,3,2,3,2,3,3,3,3",False
1040,107,4,3Lz+3T,10.1,1.18,11.28,"1,2,3,2,3,2,2,1,2",False
1041,107,5,StSq4,3.9,1.28,5.18,"4,3,3,3,4,3,3,4,3",False
1042,107,6,CCSp4,3.2,0.64,3.84,"2,2,2,1,2,3,2,2,2",False
1043,107,7,CCoSp4,3.5,0.7,4.2,"1,0,2,2,2,2,3,3,2",False
1044,108,1,4S+3T,13.9,1.52,15.42,"1,1,2,1,2,2,2,1,2",False
1045,108,2,3A,8.0,2.86,10.86,"2,3,4,4,4,4,4,3,3",False
1046,108,3,FCSp4,3.2,0.32,3.52,"2,1,2,2,0,1,-1,1,0",False
1047,108,4,4T,10.45,-2.85,7.6,"-3,-3,-3,-3,-3,-3,-3,-4,-3",True
1048,108,5,CCoSp4,3.5,0.8,4.3,"3,3,2,2,2,3,1,2,2",False
1049,108,6,StSq4,3.9,1.11,5.01,"3,4,3,3,3,3,2,2,3",False
1050,108,7,CSSp2,2.3,0.53,2.83,"3,2,2,3,2,2,2,3,2",False
1051,109,1,3T+3T,8.4,0.78,9.18,"1,2,0,2,2,2,2,2,2",False
1052,109,2,3Lz,5.9,1.52,7.42,"2,3,4,3,3,2,3,2,2",False
1053,109,3,CCSp3,2.8,0.4,3.2,"2,-1,0,2,1,1,2,2,2",False
1054,109,4,3A,8.0,2.29,10.29,"3,4,3,3,3,3,3,2,2",False
1055,109,5,FSSp4,3.0,0.69,3.69,"3,3,2,2,2,3,2,2,2",False
1056,109,6,StSq4,3.9,1.67,5.57,"5,4,2,4,5,5,4,4,4",False
1057,109,7,CCoSp4,3.5,0.7,4.2,"3,0,2,0,2,3,3,2,2",False
1058,110,1,4F!+3T,15.2,-2.51,12.69,"-3,-2,-3,-2,-2,-2,-2,-3,-2",False
1059,110,2,4Lz,11.5,2.14,13.64,"2,2,2,2,2,3,1,1,2",False
