id,performance_id,component_index,component_name,factor,panel_score,judges_scores
98,33,2,Presentation,2.67,7.04,"6.25,7.00,6.50,7.25,7.25,7.25,7.25,6.75,8.00"
99,33,3,Skating Skills,2.67,7.54,"7.50,7.50,7.25,7.50,7.75,7.50,7.50,7.50,7.75"
100,34,1,Composition,2.67,7.32,"6.75,8.00,7.25,7.25,7.25,7.50,6.75,7.50,7.75"
101,34,2,Presentation,2.67,7.43,"7.50,7.75,6.75,7.00,7.50,7.25,7.25,7.75,7.75"
102,34,3,Skating Skills,2.67,7.46,"7.00,7.50,7.00,7.50,7.75,7.25,7.75,7.75,7.50"
103,35,1,Composition,2.67,6.54,"6.50,6.00,6.00,7.00,6.50,6.75,6.00,7.00,7.50"
104,35,2,Presentation,2.67,6.43,"6.25,6.50,6.00,6.75,6.50,6.25,5.50,6.75,7.25"
105,35,3,Skating Skills,2.67,6.64,"6.50,6.50,6.25,6.50,7.00,6.50,6.75,6.75,7.25"
106,36,1,Composition,1.33,8.5,"8.25,8.75,8.25,8.50,8.75,8.50,8.00,9.00,8.50"
107,36,2,Presentation,1.33,8.57,"8.50,9.25,8.50,8.50,8.50,8.75,8.25,8.75,8.50"
108,36,3,Skating Skills,1.33,8.46,"8.50,9.00,8.50,8.25,8.50,8.50,8.00,8.50,8.50"
109,37,1,Composition,1.33,8.04,"8.00,8.25,7.75,8.25,8.50,7.75,7.25,8.25,8.00"
110,37,2,Presentation,1.33,8.18,"8.00,8.75,8.25,8.00,8.25,8.25,8.00,8.50,8.00"
111,37,3,Skating Skills,1.33,8.18,"8.25,8.75,8.00,8.25,8.50,8.00,8.00,8.00,8.25"
112,38,1,Composition,1.33,8.36,"8.25,8.50,8.25,8.75,8.50,7.75,8.25,8.50,8.25"
113,38,2,Presentation,1.33,8.32,"8.25,8.50,8.00,8.25,8.25,8.00,8.50,9.00,8.50"
114,38,3,Skating Skills,1.33,8.39,"8.50,8.50,8.25,8.50,8.25,8.00,8.25,8.75,8.50"
115,39,1,Composition,1.33,8.0,"8.00,8.25,7.75,7.75,8.00,7.25,7.75,8.50,8.50"
116,39,2,Presentation,1.33,7.79,"7.50,8.25,7.25,7.50,7.50,7.50,8.25,8.00,8.50"
117,39,3,Skating Skills,1.33,7.86,"8.00,8.00,7.50,7.75,7.75,7.25,7.75,8.25,8.50"
118,40,1,Composition,1.33,8.04,"8.25,7.50,7.75,8.25,8.50,7.50,7.75,8.50,8.25"
119,40,2,Presentation,1.33,8.18,"8.25,7.75,7.50,8.50,8.25,7.75,8.25,8.50,8.50"
120,40,3,Skating Skills,1.33,8.07,"8.25,8.00,7.75,8.25,8.25,7.25,7.75,8.25,8.25"
121,41,1,Composition,1.33,7.54,"7.50,8.00,7.25,7.75,7.75,7.50,7.25,7.50,7.50"
122,41,2,Presentation,1.33,7.5,"7.50,7.75,7.25,8.25,7.50,7.25,8.00,7.25,7.25"
123,41,3,Skating Skills,1.33,7.75,"7.75,8.00,7.75,7.75,7.75,7.50,8.25,7.75,7.50"
124,42,1,Composition,1.33,7.61,"7.25,8.00,7.50,7.75,7.50,7.50,7.50,8.00,7.50"
125,42,2,Presentation,1.33,7.86,"7.50,8.25,7.50,8.00,7.75,8.00,7.75,8.25,7.75"
126,42,3,Skating Skills,1.33,7.68,"7.25,7.75,7.75,7.50,7.75,7.75,7.75,7.75,7.50"
127,43,1,Composition,1.33,6.96,"7.00,7.25,6.75,7.50,6.50,6.50,6.75,7.00,7.50"
128,43,2,Presentation,1.33,7.11,"6.75,7.50,7.00,7.25,6.50,7.00,7.00,7.25,7.50"
129,43,3,Skating Skills,1.33,7.0,"7.00,7.50,6.75,7.00,6.75,6.75,7.25,6.75,7.50"
130,44,1,Composition,1.33,7.5,"7.75,7.50,7.25,7.25,7.50,7.00,7.50,8.00,7.75"
131,44,2,Presentation,1.33,7.32,"7.50,7.25,7.00,7.00,7.25,7.00,8.00,7.75,7.50"
132,44,3,Skating Skills,1.33,7.57,"7.75,7.75,7.25,7.25,7.50,7.25,7.75,8.00,7.75"
133,45,1,Composition,1.33,6.89,"7.25,7.50,6.50,6.75,6.50,6.75,6.50,7.25,7.25"
134,45,2,Presentation,1.33,6.86,"6.75,7.50,6.50,7.00,6.50,6.25,7.00,7.00,7.25"
135,45,3,Skating Skills,1.33,6.71,"6.50,7.50,6.75,6.75,6.25,6.50,6.50,6.75,7.25"
136,46,1,Composition,1.33,7.79,"7.75,8.00,8.00,7.75,7.00,7.75,7.75,8.25,7.50"
137,46,2,Presentation,1.33,7.79,"8.00,7.75,7.75,8.00,7.25,7.75,7.50,8.50,7.75"
138,46,3,Skating Skills,1.33,7.61,"7.75,7.75,8.00,7.50,7.25,7.50,7.25,7.75,7.75"
139,47,1,Composition,3.33,8.29,"7.75,8.50,8.25,8.25,8.25,8.25,8.75,8.25,8.25"
140,47,2,Presentation,3.33,8.25,"8.25,8.25,8.25,8.25,8.50,8.00,8.25,8.50,8.00"
141,47,3,Skating Skills,3.33,8.46,"8.50,8.50,8.50,8.50,8.25,8.50,8.50,8.50,8.25"
142,48,1,Composition,3.33,8.39,"8.25,8.75,8.50,7.75,8.50,7.50,8.75,8.25,8.75"
143,48,2,Presentation,3.33,8.21,"7.75,8.50,8.50,8.25,8.25,7.75,8.00,8.25,8.75"
144,48,3,Skating Skills,3.33,8.04,"8.25,8.50,8.25,7.75,7.75,7.75,7.75,8.00,8.50"
145,49,1,Composition,3.33,8.0,"8.00,8.25,7.75,8.00,8.00,8.25,8.25,7.50,7.75"
146,49,2,Presentation,3.33,7.89,"7.75,8.00,7.75,7.75,8.25,8.25,8.00,7.75,7.50"
147,49,3,Skating Skills,3.33,7.93,"7.50,7.75,7.75,8.00,8.00,8.50,8.25,8.00,7.75"
148,50,1,Composition,3.33,7.54,"7.50,7.50,7.75,7.75,7.75,7.50,7.50,7.25,7.25"
149,50,2,Presentation,3.33,7.61,"7.75,7.25,7.50,8.00,8.00,7.50,7.50,7.50,7.50"
150,50,3,Skating Skills,3.33,7.71,"7.75,7.25,7.75,7.75,7.50,7.75,7.75,7.75,7.75"
151,51,1,Composition,3.33,7.5,"7.25,7.75,7.50,7.50,7.75,7.50,7.25,7.25,7.75"
152,51,2,Presentation,3.33,7.5,"7.00,7.50,7.50,7.50,8.00,7.50,7.50,7.50,7.50"
153,51,3,Skating Skills,3.33,7.68,"7.75,7.50,7.75,7.75,8.00,7.25,7.50,7.75,7.75"
154,52,1,Composition,3.33,7.04,"7.50,8.00,6.50,6.50,6.50,7.25,7.50,7.00,7.00"
155,52,2,Presentation,3.33,7.32,"7.25,8.00,6.75,7.00,7.25,7.25,7.75,7.25,7.50"
156,52,3,Skating Skills,3.33,7.18,"6.50,7.75,6.50,7.25,6.75,7.50,7.50,7.25,7.50"
157,53,1,Composition,3.33,7.43,"6.75,8.00,7.25,7.25,7.75,7.25,7.50,7.25,7.75"
158,53,2,Presentation,3.33,7.46,"7.50,8.00,7.25,7.50,7.75,7.25,7.25,7.25,7.75"
